name,country,general_info1,general_info2,happiness_rating,family_safety_rating,family_safety_info,bike_hobby_rating,bike_hobby_info,accountant_rating,accountant_shortage_rating,accountant_shortage,accountant_avg_salary,graphic_designer_rating,graphic_designer_shortage,graphic_designer_avg_salary,journalist_rating,journalist_shortage,journalist_avg_salary,webdev_rating,webdev_avg_salary,gps_coordinates,web_dev_shortage,lat,lng,code
Copenhagen,Denmark,"Danes enjoy a high standard of living and the country ranks highly in some metrics of national performance, including education, health care, protection of civil liberties, democratic governance, prosperity and human development. The country ranks as having the world's highest social mobility, a high level of income equality, is the least corrupt country in the world, has one of the world's highest per capita incomes, and one of the world's highest personal income tax rates.","High paying jobs but access into country, together with low demand, generates a lower profession rating",7.526,77.16,,,,,,,,,,,,,,6,44000,55°43′N 12°34′E,4,55.676671,12.5734113,DKK
Zurich,Switzerland,"Switzerland is one of the wealthiest countries in the world. Switzerland ranks at or near the top globally in several metrics of national performance, including government transparency, civil liberties, quality of life, economic competitiveness, and human development. It has the highest nominal wealth (financial and non-financial assets) per adult in the world according to Credit Suisse and the eighth-highest per capita gross domestic product on the IMF list. Zürich and Geneva have each been ranked among the top cities with the highest quality of life in the world, with the former ranked 2nd globally, according to Mercer.","Highest paid country in the world for new webdevs, with moderate demand.",7.509,81.09,,,,,,,,,,,,,,9,80000,47°22′N 8°33′E,7,47.3773697,8.3966207,CHF
Oslo,Norway,"Norway has the fourth-highest per capita income in the world on the World Bank and IMF lists, as well as ninth-highest on a more comprehensive CIA list. On a per-capita basis, it is the world's largest producer of oil and natural gas outside the Middle East. From 2001 to 2006, and then again from 2009 to 2014, Norway had the highest Human Development Index ranking in the world.  Norway has also topped the Legatum Prosperity Index for the last five years.","One of the highest ranking cities in the world for web developers without a family, due to a lower safety rating.",7.498,58.97,,,,,,,,,,,,,,8,64000,59°56′N 10°41′E,7,59.8935576,10.504911,NOK
Helsinki,Finland,"Finland was a relative latecomer to industrialisation, remaining a largely agrarian country until the 1950s. It rapidly developed an advanced economy while building an extensive Nordic-style welfare state, resulting in widespread prosperity and one of the highest per capita incomes in the world.  Finland is a top performer in numerous metrics of national performance, including education, economic competitiveness, civil liberties, quality of life, and human development.  In 2015, Finland was ranked first in the World Human Capital and the Press Freedom Index, and as the most stable country in the world in the Failed States Index, and second in the Global Gender Gap Report.",Low pay and moderate demand in one of the safest and stable countries in the world.,7.413,69.65,,,,,,,,,,,,,,7,37000,60°10′N 024°56′E,6,60.1628211,24.4797557,EUR
Toronto,Canada,"Canada is a developed country and has the tenth highest nominal per capita income globally, and the ninth highest ranking in the Human Development Index. It ranks among the highest in international measurements of government transparency, civil liberties, quality of life, economic freedom, and education.   It is one of the world's most ethnically diverse and multicultural nations, the product of large-scale immigration from many countries. Its advanced economy is the eleventh largest in the world, relying chiefly upon its abundant natural resources and well-developed international trade networks.","Low average salary expect to rise, as demand expected to peak by 2019.",7.404,63.71,,,,,,,,,,,,,,8,30000,43°42′N 79°24′W,10,43.7178989,-79.6582889,CAD
Amsterdam,Netherlands,"The Netherlands was the third country in the world to have an elected parliament, and since 1848 it has been governed as a parliamentary democracy and a constitutional monarchy, organised as a unitary state. The Netherlands has a long history of social tolerance and is generally regarded as a liberal country, having legalised abortion, prostitution and euthanasia, while maintaining a progressive drugs policy. In 2001, it became the world's first country to legalise same-sex marriage.   The Netherlands has a market-based mixed economy, ranking 17th of 177 countries according to the Index of Economic Freedom.[17] It had the thirteenth-highest per capita income in the world in 2013 according to the International Monetary Fund.",To be entered,7.339,65.5,,,,,,,,,,,,,,8,40000,52°22′N 4°53′E,7,52.3745291,4.7585217,EUR
Sydney,Australia,"Australia is a developed country and one of the wealthiest in the world, with the world's 12th-largest economy. In 2014 Australia had the world's fifth-highest per capita income. Australia's military expenditure is the world's 13th-largest. With the second-highest human development index globally, Australia ranks highly in many international comparisons of national performance, such as quality of life, health, education, economic freedom, and the protection of civil liberties and political rights.",To be entered,7.313,58.06,,,,,,,,,,,,,,6,33000,33°51′54″S 151°12′34″E,6,-33.7918444,149.8003469,AUD
Stockholm,Sweden,"Sweden is a unitary state, currently divided into 21 counties and 290 municipalities. Sweden maintains a Nordic social welfare system that provides universal health care and tertiary education for its citizens. It has the world's eighth-highest per capita income and ranks highly in numerous metrics of national performance, including quality of life, health, education, protection of civil liberties, economic competitiveness, equality, prosperity and human development.",To be entered,7.291,54.41,,,,,,,,,,,,,,7,48000,59°21′N 18°4′E,7,59.3249389,17.4270277,SEK
Jerusalem,Israel,"Israel is a developed country and an OECD member, with the 35th-largest economy in the world by nominal gross domestic product as of 2015. The country benefits from a highly skilled workforce and is among the most educated countries in the world with the one of the highest percentage of its citizens holding a tertiary education degree. The country has the highest standard of living in the Middle East and the fourth highest in Asia, and has one of the highest life expectancies in the world.",To be entered,7.267,71.5,,,,,,,,,,,,,,8,41000,31°47′N 35°13′E,8,31.7960117,34.8951133,ILS
Vienna,Austria,"The capital and largest city, with a population exceeding 1.7 million, is Vienna.Austria is one of the richest countries in the world, with a nominal per capita GDP of $43,546. The country has developed a high standard of living and in 2014 was ranked 21st in the world for its Human Development Index. ",To be entered,7.119,76.33,,,,,,,,,,,,,,6,35000,48°12′N 16°21′E,5,48.2203444,16.0998355,EUR
